layer |        PLAIN |       POETIC |         SONG |      ARCHAIC
    0 |         '\n' |         '\n' |         '\n' |         '\n'
    1 |        'opi' |      '/from' | ' asserting' |        'opi'
    2 | ' legitimately' |       ' tro' |       ' tro' |       ' tro'
    3 | ' legitimately' |    ' redund' |    ' redund' |    ' redund'
    4 |       'rips' |       'rips' |       'rips' |        ').['
    5 |       'rips' |       ' rob' |       ' bam' | 'Descriptors'
    6 | ' intentional' |       'cred' | ' intentional' |       ' tro'
    7 |       ' Ded' |        'CLS' |       ' hog' |   ' locales'
    8 |        'ver' |        'CLS' |      ' elim' |        'CLS'
    9 |       ' ens' |        'CLS' |       'rips' |        'CLS'
   10 |        '[\n' |        'CLS' |         'zk' | ' Henderson'
   11 | '(Parameter' |      '/from' |      '/from' |  ' piercing'
   12 |       'stro' |      '/from' |    ' emojis' |    ' emojis'
   13 |       'lice' |      '/from' |       ' DTO' |    '-headed'
   14 | ' conclusions' |      '/from' |       ' hun' |    ' theirs'
   15 |       '(Str' |   ' tighten' |      'sweet' |   ' couples'
   16 |       '(Str' |      '/from' |     ' evoke' |        'exo'
   17 |       ' PTS' |      '-pass' |   ' unravel' |      '-pass'
   18 |        'CLS' |     'thetic' |       ' err' |     ' synth'
   19 |       ' hun' |   ' provoke' |   ' provoke' |         '首先'
   20 |         '首先' |   ' honesty' |  ' creative' |         '首先'
   21 |      'First' |         '首先' |        'Let' |         '首先'
   22 |      'First' |         'To' |      'First' |         'To'
   23 |      'First' |         'To' |      'First' |      'First'
   24 |         'To' |         'To' |       'Okay' |         'To'
   25 |      'First' |       'Okay' |       'Okay' |      'First'
   26 |      'First' |       'Okay' |       'Okay' |      'First'
   27 |      'First' |       'Okay' |       'Okay' |         'To'
   28 |      'First' |       'Okay' |       'Okay' |       'Okay'
